date,QCOM,CRM
2022-11-08,103.41956329345703,144.97158813476562
2022-11-09,101.4805679321289,140.0045166015625
2022-11-10,110.89990997314453,154.03848266601562
2022-11-11,111.589111328125,155.44778442382812
2022-11-14,111.0101547241211,156.3643341064453
2022-11-15,115.80712890625,159.7249755859375
2022-11-16,110.94584655761719,152.87551879882812
2022-11-17,112.9032211303711,147.52410888671875
2022-11-18,113.81299591064453,145.89794921875
2022-11-21,110.45877838134766,142.754150390625
2022-11-22,113.62919616699219,147.09048461914062
2022-11-23,115.00763702392578,150.0372314453125
2022-11-25,113.44540405273438,151.1311492919922
2022-11-28,109.85228729248047,151.46621704101562
2022-11-29,108.78628540039062,149.4853057861328
2022-11-30,116.98016357421875,157.93130493164062
2022-12-01,117.276123046875,144.87303161621094
2022-12-02,116.21257781982422,142.46832275390625
2022-12-05,114.03001403808594,131.99212646484375
2022-12-06,110.77464294433594,131.3416748046875
2022-12-07,109.32269287109375,128.59205627441406
2022-12-08,112.59654235839844,128.2471160888672
2022-12-09,110.09953308105469,129.2129364013672
2022-12-12,112.0971450805664,131.18399047851562
2022-12-13,114.20571899414062,133.6576690673828
2022-12-14,112.5595474243164,132.80027770996094
2022-12-15,107.8707275390625,128.55267333984375
2022-12-16,105.91935729980469,126.41403198242188
2022-12-19,104.14370727539062,127.1433334350586
2022-12-20,103.67205810546875,126.59143829345703
2022-12-21,105.97484588623047,128.41465759277344
2022-12-22,102.35880279541016,127.32072448730469
2022-12-23,102.50679016113281,127.56710052490234
2022-12-27,101.23054504394531,128.76947021484375
2022-12-28,98.92774200439453,126.61115264892578
2022-12-29,101.58195495605469,130.62222290039062
2022-12-30,101.67444610595703,130.67152404785156
2023-01-03,99.14043426513672,132.82981872558594
2023-01-04,103.14490509033203,137.57025146484375
2023-01-05,101.17504119873047,134.36724853515625
2023-01-06,106.66847229003906,138.47691345214844
2023-01-09,105.99334716796875,144.97158813476562
2023-01-10,108.12043762207031,145.30667114257812
2023-01-11,109.4891586303711,142.8033905029297
2023-01-12,112.44856262207031,147.4354248046875
