date,LLY,JNJ
2010-10-04,24.716659545898438,39.122440338134766
2010-10-05,25.118392944335938,39.839290618896484
2010-10-06,25.309043884277344,40.09941101074219
2010-10-07,25.24776840209961,40.105751037597656
2010-10-08,25.240955352783203,40.112083435058594
2010-10-11,25.343090057373047,40.156490325927734
2010-10-12,25.43841552734375,40.150142669677734
2010-10-13,25.465652465820312,40.334110260009766
2010-10-14,25.47927474975586,40.43562698364258
2010-10-15,25.71077537536621,40.327781677246094
2010-10-18,25.915040969848633,40.51174545288086
2010-10-19,25.499698638916016,40.150142669677734
2010-10-20,24.519197463989258,40.34682083129883
2010-10-21,24.17194175720215,40.59421920776367
2010-10-22,24.103849411010742,40.480037689208984
2010-10-25,23.920019149780273,40.58787536621094
2010-10-26,23.763404846191406,40.49905776977539
2010-10-27,23.790639877319336,40.327781677246094
2010-10-28,23.933631896972656,40.32143020629883
2010-10-29,23.967670440673828,40.43562698364258
2010-11-01,23.858732223510742,40.40392303466797
2010-11-02,24.09024429321289,40.524436950683594
2010-11-03,24.2196102142334,40.72109603881836
2010-11-04,24.348976135253906,41.08269500732422
2010-11-05,24.321733474731445,41.01292419433594
2010-11-08,24.32854461669922,40.809906005859375
2010-11-09,24.355789184570312,40.79722213745117
2010-11-10,24.155590057373047,40.5688362121582
2010-11-11,24.127962112426758,40.5498046875
2010-11-12,23.996789932250977,40.391212463378906
2010-11-15,23.907052993774414,40.689369201660156
2010-11-16,23.76898765563965,40.05500411987305
2010-11-17,23.748273849487305,40.004241943359375
2010-11-18,24.01751708984375,40.49272155761719
2010-11-19,23.817310333251953,40.49272155761719
2010-11-22,23.851829528808594,40.359493255615234
2010-11-23,23.52736473083496,39.88371658325195
2010-11-24,23.62401008605957,40.150142669677734
2010-11-26,23.52045440673828,39.86221694946289
2010-11-29,23.396196365356445,39.6126823425293
2010-11-30,23.23740577697754,39.38234329223633
2010-12-01,23.651615142822266,39.939002990722656
2010-12-02,23.644712448120117,40.05417251586914
2010-12-03,23.568782806396484,40.02858352661133
2010-12-06,23.451416015625,39.79823303222656
2010-12-07,23.548065185546875,39.86862564086914
2010-12-08,23.686141967773438,39.95819854736328
2010-12-09,23.934663772583008,39.70867156982422
2010-12-10,24.1486759185791,39.6126823425293
2010-12-13,24.141775131225586,39.58069610595703
2010-12-14,24.224618911743164,40.16294479370117
2010-12-15,24.252243041992188,40.03497314453125
2010-12-16,24.286758422851562,39.92620849609375
2010-12-17,24.16938591003418,40.01578140258789
2010-12-20,24.19010353088379,39.98379135131836
2010-12-21,24.25913429260254,39.8878173828125
2010-12-22,24.300556182861328,39.683067321777344
2010-12-23,24.321271896362305,39.830238342285156
2010-12-27,24.2108154296875,39.62548065185547
2010-12-28,24.196998596191406,39.70226287841797
2010-12-29,24.26604461669922,39.753448486328125
2010-12-30,24.176294326782227,39.63188552856445
2010-12-31,24.19010353088379,39.57429885864258
2011-01-03,24.162487030029297,40.19493865966797
2011-01-04,24.183197021484375,40.534061431884766
2011-01-05,24.010610580444336,40.508453369140625
2011-01-06,24.121063232421875,40.4444694519043
2011-01-07,24.09345054626465,40.05417251586914
2011-01-10,23.810400009155273,39.772640228271484
2011-01-11,24.10034942626953,39.843017578125
2011-01-12,24.183197021484375,39.99020004272461
2011-01-13,24.09345054626465,40.25252914428711
2011-01-14,24.10034942626953,40.02217102050781
