date,HD,LOW
2010-10-13,21.348093032836914,16.400798797607422
2010-10-14,21.217252731323242,16.243459701538086
2010-10-15,21.14150619506836,16.153545379638672
2010-10-18,21.024433135986328,15.852313995361328
2010-10-19,20.941795349121094,15.852313995361328
2010-10-20,21.162168502807617,16.304155349731445
2010-10-21,21.905900955200195,16.605398178100586
2010-10-22,21.678647994995117,16.567739486694336
2010-10-25,21.62355613708496,16.46230125427246
2010-10-26,21.547807693481445,16.356870651245117
2010-10-27,21.279237747192383,16.161067962646484
2010-10-28,21.478939056396484,16.100831985473633
2010-10-29,21.279237747192383,16.07070541381836
2010-11-01,21.148391723632812,15.957749366760254
2010-11-02,21.69930648803711,16.50749397277832
2010-11-03,21.66487693786621,16.50749397277832
2010-11-04,21.99542808532715,16.793663024902344
2010-11-05,21.981647491455078,16.786134719848633
2010-11-08,21.68553352355957,16.63551139831543
2010-11-09,21.67176628112793,16.304155349731445
2010-11-10,21.81637954711914,16.46230125427246
2010-11-11,21.830148696899414,16.793663024902344
2010-11-12,21.651094436645508,16.33428955078125
2010-11-15,21.616661071777344,16.161067962646484
2010-11-16,21.8370361328125,16.243915557861328
2010-11-17,21.23103141784668,16.206260681152344
2010-11-18,21.258563995361328,16.296632766723633
2010-11-19,21.499601364135742,16.63551139831543
2010-11-22,21.410072326660156,16.816259384155273
2010-11-23,21.286115646362305,16.62045669555664
2010-11-24,21.45827865600586,17.064773559570312
2010-11-26,21.348093032836914,16.74847984313965
2010-11-29,21.134614944458008,16.838844299316406
2010-11-30,20.96529197692871,17.09489631652832
2010-12-01,21.936864852905273,17.885631561279297
2010-12-02,23.151338577270508,18.76673126220703
2010-12-03,23.234607696533203,18.721548080444336
2010-12-06,23.137462615966797,18.691425323486328
2010-12-07,23.283193588256836,18.939937591552734
2010-12-08,23.616304397583008,19.324007034301758
2010-12-09,23.81755828857422,18.962533950805664
2010-12-10,23.873083114624023,18.992650985717773
2010-12-13,23.98412322998047,18.82697296142578
2010-12-14,24.095151901245117,18.90981674194336
2010-12-15,24.14373779296875,18.94747543334961
2010-12-16,24.372753143310547,19.165861129760742
2010-12-17,24.358869552612305,18.955001831054688
2010-12-20,24.428272247314453,19.248708724975586
2010-12-21,24.34499740600586,19.339069366455078
2010-12-22,24.414384841918945,19.3315372467041
2010-12-23,24.351924896240234,19.21858024597168
